-- Thêm 20 bản ghi vào bảng transaction
INSERT INTO `transaction` (`id`, `price`, `receiver`, `sender`, `transaction_date`, `post_id`) VALUES
('1', 100.00, 'user 2', 'user 1', '2024-05-01', NULL),
('2', 150.00, 'user 1', 'user 2', '2024-05-02', NULL),
('3', 75.00, 'user 2', 'user 1', '2024-05-03', NULL),
('4', 200.00, 'user 1', 'user 2', '2024-05-04', NULL),
('5', 50.00, 'user 2', 'user 1', '2024-05-05', NULL),
('6', 120.00, 'user 1', 'user 2', '2024-05-06', NULL),
('7', 90.00, 'user 2', 'user 1', '2024-05-07', NULL),
('8', 180.00, 'user 1', 'user 2', '2024-05-08', NULL),
('9', 60.00, 'user 2', 'user 1', '2024-05-09', NULL),
('10', 220.00, 'user 1', 'user 2', '2024-05-10', NULL),
('11', 80.00, 'user 2', 'user 1', '2024-05-11', NULL),
('12', 130.00, 'user 1', 'user 2', '2024-05-12', NULL),
('13', 110.00, 'user 2', 'user 1', '2024-05-13', NULL),
('14', 190.00, 'user 1', 'user 2', '2024-05-14', NULL),
('15', 70.00, 'user 2', 'user 1', '2024-05-15', NULL),
('16', 240.00, 'user 1', 'user 2', '2024-05-16', NULL),
('17', 100.00, 'user 2', 'user 1', '2024-05-17', NULL),
('18', 160.00, 'user 1', 'user 2', '2024-05-18', NULL),
('19', 85.00, 'user 2', 'user 1', '2024-05-19', NULL),
('20', 200.00, 'user 1', 'user 2', '2024-05-20', NULL),
('21', 180.00, 'user 2', 'user 1', '2024-05-21', NULL),
('22', 95.00, 'user 1', 'user 2', '2024-05-22', NULL),
('23', 120.00, 'user 2', 'user 1', '2024-05-23', NULL),
('24', 210.00, 'user 1', 'user 2', '2024-05-24', NULL),
('25', 70.00, 'user 2', 'user 1', '2024-05-25', NULL),
('26', 130.00, 'user 1', 'user 2', '2024-05-26', NULL),
('27', 150.00, 'user 2', 'user 1', '2024-05-27', NULL),
('28', 200.00, 'user 1', 'user 2', '2024-05-28', NULL),
('29', 90.00, 'user 2', 'user 1', '2024-05-29', NULL),
('30', 240.00, 'user 1', 'user 2', '2024-05-30', NULL),
('31', 110.00, 'user 2', 'user 1', '2024-05-31', NULL),
('32', 170.00, 'user 1', 'user 2', '2024-06-01', NULL),
('33', 65.00, 'user 2', 'user 1', '2024-06-02', NULL),
('34', 180.00, 'user 1', 'user 2', '2024-06-03', NULL),
('35', 85.00, 'user 2', 'user 1', '2024-06-04', NULL),
('36', 220.00, 'user 1', 'user 2', '2024-06-05', NULL),
('37', 100.00, 'user 2', 'user 1', '2024-06-06', NULL),
('38', 190.00, 'user 1', 'user 2', '2024-06-07', NULL),
('39', 75.00, 'user 2', 'user 1', '2024-06-08', NULL),
('40', 260.00, 'user 1', 'user 2', '2024-06-09', NULL),
('41', 130.00, 'user 2', 'user 1', '2024-06-10', NULL),
('42', 200.00, 'user 1', 'user 2', '2024-06-11', NULL),
('43', 95.00, 'user 2', 'user 1', '2024-06-12', NULL),
('44', 180.00, 'user 1', 'user 2', '2024-06-13', NULL),
('45', 70.00, 'user 2', 'user 1', '2024-06-14', NULL),
('46', 150.00, 'user 1', 'user 2', '2024-06-15', NULL),
('47', 210.00, 'user 2', 'user 1', '2024-06-16', NULL),
('48', 90.00, 'user 1', 'user 2', '2024-06-17', NULL),
('49', 240.00, 'user 2', 'user 1', '2024-06-18', NULL),
('50', 110.00, 'user 1', 'user 2', '2024-06-19', NULL),
('51', 170.00, 'user 2', 'user 1', '2024-06-20', NULL),
('52', 65.00, 'user 1', 'user 2', '2024-06-21', NULL),
('53', 180.00, 'user 2', 'user 1', '2024-06-22', NULL),
('54', 85.00, 'user 1', 'user 2', '2024-06-23', NULL),
('55', 220.00, 'user 2', 'user 1', '2024-06-24', NULL),
('56', 100.00, 'user 1', 'user 2', '2024-06-25', NULL),
('57', 190.00, 'user 2', 'user 1', '2024-06-26', NULL),
('58', 75.00, 'user 1', 'user 2', '2024-06-27', NULL),
('59', 260.00, 'user 2', 'user 1', '2024-06-28', NULL),
('60', 120.00, 'user 1', 'user 2', '2024-06-29', NULL),
('61', 130.00, 'user 2', 'user 1', '2024-06-30', NULL),
('62', 200.00, 'user 1', 'user 2', '2024-07-01', NULL),
('63', 95.00, 'user 2', 'user 1', '2024-07-02', NULL),
('64', 180.00, 'user 1', 'user 2', '2024-07-03', NULL),
('65', 70.00, 'user 2', 'user 1', '2024-07-04', NULL),
('66', 150.00, 'user 1', 'user 2', '2024-07-05', NULL),
('67', 210.00, 'user 2', 'user 1', '2024-07-06', NULL),
('68', 90.00, 'user 1', 'user 2', '2024-07-07', NULL),
('69', 240.00, 'user 2', 'user 1', '2024-07-08', NULL),
('70', 110.00, 'user 1', 'user 2', '2024-07-09', NULL),
('71', 170.00, 'user 2', 'user 1', '2024-07-10', NULL),
('72', 65.00, 'user 1', 'user 2', '2024-07-11', NULL),
('73', 180.00, 'user 2', 'user 1', '2024-07-12', NULL),
('74', 85.00, 'user 1', 'user 2', '2024-07-13', NULL),
('75', 220.00, 'user 2', 'user 1', '2024-07-14', NULL),
('76', 100.00, 'user 1', 'user 2', '2024-07-15', NULL),
('77', 190.00, 'user 2', 'user 1', '2024-07-16', NULL),
('78', 75.00, 'user 1', 'user 2', '2024-07-17', NULL),
('79', 260.00, 'user 2', 'user 1', '2024-07-18', NULL),
('80', 120.00, 'user 1', 'user 2', '2024-07-19', NULL);
